station_name,wban_id,state,target_epoch,latitude,longitude,grid_row,grid_col,grid_crs,spatial_distance_m,temporal_window_days,sensor_depths_cm,measured_mean_sm_column,measured_mean_sm_5cm,measured_soil_water_percentile,measured_physical_stress_index,earth_one_drought_prob,earth_one_fused_evidence,source_url,raw_source_sha256
IA_Des_Moines_17_E,54902,IA,2020-08,41.5562,-93.2855,60,45,EPSG:32615,42.58,0,"5, 10, 20, 50, 100 cm",0.28,0.186,0.7942,0.7942,0.9342,0.6635,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-IA_Des_Moines_17_E.csv,c307398d0f33539bc3deb5f2b44189196f0bf4860c46f2746607fbc4d52afb19
IA_Des_Moines_17_E,54902,IA,2019-07,41.5562,-93.2855,60,45,EPSG:32615,42.58,0,"5, 10, 20, 50, 100 cm",0.3587,0.2474,0.0394,0.0394,0.6546,0.1598,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-IA_Des_Moines_17_E.csv,c307398d0f33539bc3deb5f2b44189196f0bf4860c46f2746607fbc4d52afb19
IL_Champaign_9_SW,04899,IL,2022-07,40.0062,-88.3725,59,50,EPSG:32616,3.51,0,"5, 10, 20, 50, 100 cm",0.2695,0.1722,0.879,0.879,0.7236,0.2406,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-IL_Champaign_9_SW.csv,776f7d29ad83b6086381af97b902f418fca683d44e35ea19ca865f9982ccc03b
IL_Champaign_9_SW,04899,IL,2019-07,40.0062,-88.3725,59,50,EPSG:32616,3.51,0,"5, 10, 20, 50, 100 cm",0.2341,0.2341,0.3454,0.3454,0.8061,0.3563,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-IL_Champaign_9_SW.csv,776f7d29ad83b6086381af97b902f418fca683d44e35ea19ca865f9982ccc03b
NE_Lincoln_11_SW,04961,NE,2022-07,40.7302,-96.8842,68,45,EPSG:32614,24.15,0,"5, 10, 20, 50, 100 cm",0.2572,0.2156,0.0442,0.0442,0.9053,0.5645,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-NE_Lincoln_11_SW.csv,5f02fc71e26716e8c21595e51dc1e84ca72802642e69044c954cb120b646d2d6
IL_Shabbona_5_NNE,54811,IL,2022-07,41.8447,-88.8519,61,50,EPSG:32616,41.8,0,"5, 10, 20, 50, 100 cm",0.1802,0.2247,0.5875,0.5875,0.7139,0.2286,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-IL_Shabbona_5_NNE.csv,ed2938092577cac36d843ec5bef17abf751efbbd227a92440f787b0a569c668e
MO_Chillicothe_22_ENE,53931,MO,2022-07,39.8972,-93.2753,59,47,EPSG:32615,37.08,0,"5, 10, 20, 50, 100 cm",0.3498,0.3498,0.1061,0.1061,0.914,0.5908,https://www.ncei.noaa.gov/pub/data/uscrn/products/drought01/CRNDI0101-MO_Chillicothe_22_ENE.csv,2bfaa17e9b228b1fc45517150d5a48d02772ccf09af4c86ebaf3a4e579baa817
