Configuration,Mean_Fused_Evidence,Evidence_Margin,Drought_Fraction,F1_Score,Balanced_Accuracy,IoU,Brier_Score,ECE,Calibration_Slope,Calibration_Intercept
OPTICAL_ONLY,0.772,0.522,0.9809,0.990795,0.490879,0.981757,0.006286,0.055021,1.0,0.0
OPTICAL_PRECIP,0.886,0.636,0.9992,1.0,0.5,1.0,0.001055,0.029797,1.0,0.0
OPTICAL_SM,0.886,0.636,0.9992,1.0,0.5,1.0,0.001055,0.029797,1.0,0.0
OPTICAL_LST,0.8858,0.6358,0.9992,1.0,0.5,1.0,0.001057,0.029816,1.0,0.0
FULL_MULTIMODAL,0.9202,0.6702,0.9992,1.0,0.5,1.0,0.000689,0.025287,1.0,0.0
