timestep,date,s2_granule_id,local_asset_folder,baseline_regime,observed_ndvi,observed_evi,z_ndvi,z_precip,z_soil_moisture,z_lst,e_optical,e_multimodal,p_drought,decision_threshold,earth_one_decision,usdm_operational_status
t-28,2020-07-18,S2B_MSIL2A_20200718T170849_R112_T15TUG_20200816T162454,week_1_20200718,JULY,0.8035,0.6467,0.7901,-1.2727,-1.1677,1.1836,0.0748,0.5101,0.8819,0.25,DROUGHT_CONFIRMED,NONE_D0
t-21,2020-07-28,S2B_MSIL2A_20200728T170849_R112_T15TUG_20200817T225448,week_2_20200728,JULY,0.8532,0.6678,1.2466,-1.6057,-1.3234,1.3535,0.0434,0.5416,0.8955,0.25,DROUGHT_CONFIRMED,NONE_D0
t-14,2020-08-04,S2B_MSIL2A_20200804T165849_R069_T15TUG_20200816T044118,week_3_20200804,AUGUST,0.834,0.7098,0.0291,-1.2402,-1.457,-1.2525,0.2404,0.5291,0.8841,0.25,DROUGHT_CONFIRMED,D0_ABNORMALLY_DRY
t-7,2020-08-09,S2A_MSIL2A_20200809T165901_R069_T15TUG_20200815T144028,week_4_20200809,AUGUST,0.8255,0.7142,-1.7714,-0.9855,-1.457,1.2713,0.4894,0.6611,0.9254,0.25,DROUGHT_CONFIRMED,D1_MODERATE_DROUGHT
t0,2020-08-17,S2B_MSIL2A_20200817T170849_R112_T15TUG_20200818T162632,week_5_20200817,AUGUST,0.8017,0.6529,-0.7558,-0.8119,-1.457,-0.1042,0.3938,0.5807,0.9006,0.25,DROUGHT_CONFIRMED,D1_MODERATE_DROUGHT
t+7,2020-08-19,S2A_MSIL2A_20200819T165901_R069_T15TUG_20200908T092655,week_6_20200819,AUGUST,0.7806,0.6335,-1.2581,-0.8541,-1.7219,0.6077,0.4713,0.6534,0.9226,0.25,DROUGHT_CONFIRMED,D2_SEVERE_DROUGHT
t+14,2020-08-27,S2B_MSIL2A_20200827T170849_R112_T15TUG_20200907T082752,week_7_20200827,AUGUST,0.6817,0.5098,-3.3262,-1.1384,-1.9868,4.6265,0.7815,0.8904,0.9688,0.25,DROUGHT_CONFIRMED,D2_SEVERE_DROUGHT
