timestep,date,e_optical_only,p_optical_only,e_multimodal,p_multimodal,multimodal_gain_e,multimodal_gain_p
t-28,2020-07-18,0.0748,0.5467,0.2172,0.7001,0.1424,0.1534
t-21,2020-07-28,0.0434,0.5275,0.2413,0.7217,0.1979,0.1942
t-14,2020-08-04,0.2404,0.6463,0.4696,0.8579,0.2292,0.2116
t-7,2020-08-09,0.4894,0.7837,0.6206,0.9137,0.1312,0.13
t0,2020-08-17,0.3938,0.7303,0.561,0.8934,0.1672,0.1631
t+7,2020-08-19,0.4713,0.7697,0.6185,0.9122,0.1472,0.1425
t+14,2020-08-27,0.7815,0.9051,0.8366,0.9617,0.0551,0.0566
