grid_resolution_m,grid_label,grid_dimensions,total_pixels,decision_threshold,f1_score,iou_jaccard,precision,recall,specificity,brier_score,expected_calibration_error,matthews_corr_coef,predicted_drought_fraction,reference_drought_fraction,mean_earth_one_prob,usdm_source,probability_raster_path,usdm_raster_path,provenance_hash
100,100 m,111x86,9539,0.25,1.0,1.0,1.0,1.0,0.0,0.001036,0.030733,0.0,1.0,1.0,0.969267,USDM_VECTOR_IOWA_2022_07_D1_PLUS,audit/rasters/drought_probability_100m.tif,audit/rasters/usdm_reference_100m.tif,10885bc8b29857c5bdeb9c58fc23e2710773b6f302156b9bdbcf7844587f1643
500,500 m,23x18,414,0.25,1.0,1.0,1.0,1.0,0.0,0.000973,0.030594,0.0,1.0,1.0,0.969406,USDM_VECTOR_IOWA_2022_07_D1_PLUS,audit/rasters/drought_probability_500m.tif,audit/rasters/usdm_reference_500m.tif,4e645f74696a6331ebe41bd083c889c5a696d77b57e3483f3e78ce50895c6b04
1000,1 km,12x9,108,0.25,1.0,1.0,1.0,1.0,0.0,0.000952,0.030533,0.0,1.0,1.0,0.969467,USDM_VECTOR_IOWA_2022_07_D1_PLUS,audit/rasters/drought_probability_1km.tif,audit/rasters/usdm_reference_1km.tif,7ac79ed452b177e0995d76cef9e35d55d4b58192362b3069221fe30941462809
